Ahurenga	46.0N,89.8W
Al-Arqas	31.3S,13.1E
Al-Jalima	7.1N,4.9E
Arwic	33.2N,56.5E
Ayan Baqur	60.5S,88.0W
Baishi	49.3S,62.8E
Bandit Castle	64.9N,49.2E
Beach Fort	75.9N,49.0W
Bluespire	39.4N,75.3W
Cragstone	25.9N,48.3E
Dryreach	8.1S,72.9E
Eastham	16.8N,63.4E
Eastwatch	90.2N,43.3W
Fiun	95.8N,56.8W
Fort Tethana	1.6N,71.2W
Freehold	73.0S,91.9E
Glenden Wood	29.6N,26.4E
Greenspire	43.1N,66.8W
Hebian-to	38.9S,82.5E
Holtburg	42.0N,33.5E
Kara	83.5S,47.5E
Khayyaban	47.4S,25.5E
Kryst	74.6S,84.1E
Lin	53.9S,74.2E
Linvak Tukal	77.8S,27.9E
Lytelthorpe	1.0N,51.6E
Mayoi	61.9S,82.4E
Nanto	52.2S,82.4E
Neydisa	69.4N,17.8E
Outpost	23.1N,29.9W
Plateau	44.4N,43.1W
Qalabar	74.6S,19.5E
Redspire	40.5N,83.0W
Refuge	2.2N,95.4E
Rithwic	10.7N,59.2E
Samsur	3.2S,18.9E
Sanamar	72.0N,60.9W
Sawato	29.1S,58.8E
Shoushi	33.5S,72.7E
Silyun	87.2N,70.8W
Stonehold	68.6N,21.8W
Timaru	44.1N,78.5W
Tou-Tou	30.4S,94.6E
Tufa	14.8S,6.0E
Uziz	24.8S,28.3E
Westwatch	72.7N,73.4W
Xarabydun	41.9S,16.0E
Yanshi	12.6S,42.3E
Yaraq	21.5S,1.8W
Zaikhal	13.4N,0.6E
