# Shadowgain: XP cost tables extracted from client_portal.dat (0x0E000018).
# table	rank	totalXpToReach
trained	0	0
trained	1	58
trained	2	138
trained	3	243
trained	4	372
trained	5	526
trained	6	704
trained	7	908
trained	8	1138
trained	9	1395
trained	10	1678
trained	11	1988
trained	12	2326
trained	13	2693
trained	14	3089
trained	15	3515
trained	16	3971
trained	17	4459
trained	18	4980
trained	19	5534
trained	20	6122
trained	21	6747
trained	22	7408
trained	23	8107
trained	24	8846
trained	25	9625
trained	26	10448
trained	27	11316
trained	28	12230
trained	29	13192
trained	30	14206
trained	31	15273
trained	32	16396
trained	33	17578
trained	34	18821
trained	35	20130
trained	36	21508
trained	37	22958
trained	38	24485
trained	39	26092
trained	40	27786
trained	41	29572
trained	42	31454
trained	43	33438
trained	44	35533
trained	45	37743
trained	46	40078
trained	47	42545
trained	48	45152
trained	49	47911
trained	50	50830
trained	51	53921
trained	52	57196
trained	53	60668
trained	54	64350
trained	55	68259
trained	56	72409
trained	57	76818
trained	58	81506
trained	59	86493
trained	60	91800
trained	61	97451
trained	62	103472
trained	63	109890
trained	64	116736
trained	65	124040
trained	66	131838
trained	67	140167
trained	68	149067
trained	69	158582
trained	70	168758
trained	71	179646
trained	72	191301
trained	73	203781
trained	74	217149
trained	75	231474
trained	76	246830
trained	77	263297
trained	78	280959
trained	79	299911
trained	80	320252
trained	81	342089
trained	82	365539
trained	83	390727
trained	84	417789
trained	85	446871
trained	86	478129
trained	87	511735
trained	88	547871
trained	89	586735
trained	90	628540
trained	91	673517
trained	92	721913
trained	93	773996
trained	94	830054
trained	95	890401
trained	96	955370
trained	97	1025326
trained	98	1100659
trained	99	1181791
trained	100	1269177
trained	101	1363308
trained	102	1464714
trained	103	1573965
trained	104	1691679
trained	105	1818520
trained	106	1955205
trained	107	2102508
trained	108	2261264
trained	109	2432373
trained	110	2616806
trained	111	2815610
trained	112	3029917
trained	113	3260945
trained	114	3510009
trained	115	3778529
trained	116	4068034
trained	117	4380177
trained	118	4716738
trained	119	5079638
trained	120	5470950
trained	121	5892911
trained	122	6347931
trained	123	6838614
trained	124	7367765
trained	125	7938414
trained	126	8553825
trained	127	9217523
trained	128	9933309
trained	129	10705283
trained	130	11537868
trained	131	12435837
trained	132	13404336
trained	133	14448918
trained	134	15575574
trained	135	16790764
trained	136	18101461
trained	137	19515183
trained	138	21040043
trained	139	22684790
trained	140	24458865
trained	141	26372451
trained	142	28436532
trained	143	30662960
trained	144	33064516
trained	145	35654992
trained	146	38449264
trained	147	41463378
trained	148	44714647
trained	149	48221744
trained	150	52004816
trained	151	56085593
trained	152	60487519
trained	153	65235884
trained	154	70357967
trained	155	75883199
trained	156	81843326
trained	157	88272594
trained	158	95207949
trained	159	102689242
trained	160	110759467
trained	161	119465000
trained	162	128855871
trained	163	138986049
trained	164	149913755
